light
110000, 4390
140000, 4376
170000, 4403
200000, 4382
230000, 4464
260000, 4433
290000, 4467
320000, 4329
350000, 4382
380000, 4377
410000, 4303
440000, 4420
470000, 4494
500000, 4441
530000, 4417
560000, 4446
590000, 4379
620000, 4362
650000, 4432
680000, 4425
710000, 4453
740000, 4472
770000, 4458
800000, 4435
830000, 4355
860000, 4303
890000, 4472
920000, 4471
950000, 4390
980000, 4414
1010000, 4453
1040000, 4440
1070000, 4482
1100000, 4461
1130000, 4371
1160000, 4410
1190000, 4372
1220000, 4430
1250000, 4365
1280000, 4444
1310000, 4359
1340000, 4321
1370000, 4362
1400000, 4418
1430000, 4320
1460000, 4417
1490000, 4428
1520000, 4351
1550000, 4341
1580000, 4318
1610000, 4364
1640000, 4343
1670000, 4443
1700000, 4410
1730000, 4479
1760000, 4342
1790000, 4440
