83635,5071,74
85290,5002,62
89681,5160,74
91342,5107,71
95829,5051,61
98355,5030,66
99228,5013,71
101747,5083,76
103294,5180,75
107769,5147,78
109535,5162,78
110888,5093,72
113056,5189,69
115497,5186,76
117167,5169,78
119511,5090,66
121513,5068,79
126062,5165,67
127484,5107,66
129205,5113,79
131570,5131,63
133188,5172,79
135883,5051,79
137628,5199,75
139003,5194,70
141200,5182,74
143414,5041,69
145235,5198,69
147329,5105,63
151051,5025,69
155402,5004,70
157158,5023,75
159405,5008,64
161399,5000,72
163314,5083,62
165009,5166,77
169093,5113,67
171092,5037,71
173304,5184,72
175087,5050,61
177371,5164,71
179320,5114,67
181326,5055,64
183366,5069,71
185273,5067,69
187696,5059,70
188977,5129,79
191581,5139,78
193136,5126,70
195228,5007,79
197214,5025,69
199206,5050,78
200970,5095,61
205302,5144,65
207007,5102,60
209406,5145,62
211273,5015,70
213625,5034,74
215373,5160,79
217256,5017,61
219211,5146,60
221068,5014,65
225477,5128,73
231219,5178,64
233084,5086,62
235299,5150,63
237012,5055,72
239162,5099,78
241271,5147,64
243007,5006,68
245259,5088,68
246953,5034,66
249543,5155,69
254939,5000,79
257239,5121,70
259200,5001,73
263015,5002,78
265220,5030,76
267131,5139,75
269121,5130,76
271438,5025,75
273029,5154,68
275457,5058,60
277388,5099,62
279091,5181,76
281231,5118,67
283127,5018,79
285304,5046,75
287060,5079,71
289134,5092,65
291135,5160,69
293244,5184,62
295274,5012,70
297251,5024,61
299121,5161,66
301374,5167,71
303207,5036,61
305061,5072,77
307193,5135,77
309232,5101,62
311514,5152,69
313057,5185,71
315053,5134,75
317282,5177,64
319217,5194,73
320789,5132,64
323082,5036,75
329241,5076,67
331269,5044,65
333373,5003,73
335187,5038,71
337183,5057,77
341135,5106,76
342985,5149,68
345162,5096,79
347349,5093,77
349460,5125,69
350980,5074,62
353057,5101,77
355159,5124,68
357222,5052,66
359296,5079,79
361305,5027,70
363338,5175,70
365395,5002,66
367069,5025,64
369214,5188,63
371308,5107,66
373222,5118,62
375319,5196,73
377097,5102,70
379211,5070,69
383163,5083,66
385163,5044,64
387035,5186,70
389018,5176,73
391365,5167,70
395109,5085,68
397225,5082,75
399212,5090,60
403104,5072,67
405112,5158,64
407285,5071,71
409125,5105,79
411271,5103,64
413181,5071,64
415227,5002,73
417227,5127,79
419150,5079,63
421093,5095,74
423387,5093,71
425151,5180,77
427039,5092,75
429454,5123,72
431051,5044,71
433051,5049,64
435087,5067,60
437118,5125,71
439123,5108,73
440883,5108,74
445771,5059,73
447462,5031,79
449150,5124,67
451244,5042,63
453139,5010,64
457255,5186,64
461133,5053,77
462993,5175,69
465086,5059,72
467134,5085,79
471190,5163,79
473179,5162,67
475765,5005,60
477480,5118,70
478999,5025,65
482983,5155,75
485281,5133,73
487253,5159,67
489044,5073,72
491141,5016,74
493307,5152,63
497179,5160,71
498959,5196,66
500999,5074,72
502969,5189,64
505132,5076,71
507037,5030,65
508927,5168,62
511313,5199,69
513229,5012,64
514966,5093,61
516997,5084,68
519188,5177,70
521060,5138,61
523368,5096,69
525095,5149,70
526896,5020,75
529108,5075,62
530946,5106,77
533218,5173,68
535013,5058,68
537149,5176,76
538701,5103,77
541334,5057,62
543150,5148,64
545215,5168,71
547133,5087,68
549022,5086,74
551320,5060,62
553257,5136,64
555148,5198,70
559025,5163,60
563253,5088,64
565023,5094,65
567068,5082,64
569185,5183,71
571262,5118,66
573167,5104,72
575073,5136,79
577393,5077,65
579121,5005,71
581163,5151,64
583087,5028,69
585044,5109,72
587158,5106,72
589107,5098,61
591240,5042,63
593099,5085,75
595080,5172,68
597215,5052,68
599145,5044,66
601223,5119,79
603011,5048,66
605077,5167,60
607365,5061,61
609199,5083,67
611063,5147,69
613243,5165,64
615041,5097,74
617353,5089,74
619241,5180,61
621195,5111,74
622895,5193,72
624901,5094,66
627080,5175,79
629165,5151,61
631257,5065,62
633089,5155,60
635198,5086,60
637031,5124,62
639150,5131,71
641344,5137,78
643064,5149,67
645277,5101,66
647055,5095,70
649015,5145,62
650942,5166,74
652973,5113,68
655411,5064,61
657269,5183,67
659201,5157,74
661336,5076,79
663137,5015,69
665038,5190,66
667143,5080,62
669194,5158,73
671219,5116,74
673032,5015,76
675073,5124,67
677019,5193,77
679042,5106,60
680972,5046,77
682894,5123,63
685376,5106,61
687071,5098,77
689171,5032,60
691136,5125,66
693183,5151,66
695070,5198,72
697108,5088,66
699101,5191,69
701178,5023,73
702935,5050,71
705207,5102,60
707117,5047,74
709121,5090,64
711088,5144,75
713387,5023,76
715302,5189,77
719112,5121,77
721166,5048,71
723041,5010,77
725317,5076,65
727204,5134,60
728975,5164,72
